"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AL",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AM",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"AP",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"BA",4,4,0,"Cluster 4","Cluster 4","remained the same"
"CE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"DF",4,4,0,"Cluster 4","Cluster 4","remained the same"
"ES",3,3,0,"Cluster 3","Cluster 3","remained the same"
"GO",4,4,0,"Cluster 4","Cluster 4","remained the same"
"MA",2,2,0,"Cluster 2","Cluster 2","remained the same"
"MG",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MS",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"MT",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PA",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"PB",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PE",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"PI",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"PR",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RJ",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RN",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RR",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RS",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",4,4,0,"Cluster 4","Cluster 4","remained the same"
"SE",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"SP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
