"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"AL",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"AM",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"AP",5,1,-4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"BA",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"CE",1,3,2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"DF",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"ES",2,5,3,"Cluster 2","Cluster 5 (top performer)","+2 clusters or more"
"GO",4,4,0,"Cluster 4","Cluster 4","remained the same"
"MA",5,3,-2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
"MG",3,5,2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"MS",3,3,0,"Cluster 3","Cluster 3","remained the same"
"MT",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"PA",1,4,3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"PB",5,1,-4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"PE",5,2,-3,"Cluster 5 (top performer)","Cluster 2","-2 clusters or more"
"PI",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"PR",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"RJ",3,5,2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"RN",4,1,-3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"RO",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"RR",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"RS",1,4,3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"SC",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"SE",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"SP",2,2,0,"Cluster 2","Cluster 2","remained the same"
"TO",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
