"id","2012","2023","change","label_t_0","label_t_1","label_change"
"AC",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"AL",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AM",3,3,0,"Cluster 3","Cluster 3","remained the same"
"AP",2,2,0,"Cluster 2","Cluster 2","remained the same"
"BA",2,2,0,"Cluster 2","Cluster 2","remained the same"
"CE",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"DF",4,4,0,"Cluster 4","Cluster 4","remained the same"
"ES",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"GO",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"MS",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MT",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"PA",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PB",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"PE",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PI",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"PR",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RJ",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"RN",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RO",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"RR",3,3,0,"Cluster 3","Cluster 3","remained the same"
"RS",4,4,0,"Cluster 4","Cluster 4","remained the same"
"SC",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"SP",4,4,0,"Cluster 4","Cluster 4","remained the same"
"TO",3,3,0,"Cluster 3","Cluster 3","remained the same"
