"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",5,3,-2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
"AL",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AM",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"AP",3,3,0,"Cluster 3","Cluster 3","remained the same"
"BA",4,4,0,"Cluster 4","Cluster 4","remained the same"
"CE",4,4,0,"Cluster 4","Cluster 4","remained the same"
"DF",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",2,2,0,"Cluster 2","Cluster 2","remained the same"
"GO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MA",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"MG",2,2,0,"Cluster 2","Cluster 2","remained the same"
"MS",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"MT",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PA",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"PB",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"PE",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"PI",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PR",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RJ",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RN",3,5,2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"RO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RR",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"RS",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"SC",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"SE",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SP",3,3,0,"Cluster 3","Cluster 3","remained the same"
"TO",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
