"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",1,5,4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"AL",5,2,-3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"AM",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"AP",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"BA",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"CE",2,5,3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"DF",3,1,-2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"ES",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"GO",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"MA",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"MG",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"MS",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"MT",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PA",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"PB",4,2,-2,"Cluster 2","Cluster 4","+2 clusters or more"
"PE",2,4,2,"Cluster 4","Cluster 2","-2 clusters or more"
"PI",1,3,2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
"PR",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"RJ",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"RN",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"RO",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"RR",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RS",2,2,0,"Cluster 4","Cluster 4","remained the same"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",3,1,-2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"SP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
